element 1,element 2,element 3,element 4,element 5,element 6,element 7,element 8,element 9,element 10,element 11,element 12,property
0.002977667,0.000496278,0.000992556,0,0.005955335,0.000992556,0,0,0,0.001488834,0.001488834,0.98560794,-1.113009885
0.002985075,0,0.000497512,0,0.005970149,0.000497512,0,0,0,0.000995025,0.000995025,0.988059701,-1.118975041
0.003138404,0,0,0.010461345,5.23E-05,0.899675698,0.015692018,0,0.000836908,0.062768072,0.007322942,5.23E-05,-0.917943191
0.003140704,0,0,0.020938023,0.00010469,0.91080402,0.001046901,0,0.001046901,0.06281407,0,0.00010469,-0.943562752
0.003144984,0,0,0.010483279,5.24E-05,0.878498794,0.015724919,0,0.000838662,0.083866233,0.007338295,5.24E-05,-0.875331623
0.00315723,0.000210482,0,0.00631446,0.000105241,0.926120817,0.000420964,0,0.000420964,0.063144601,0,0.000105241,-0.977812276
0.003237743,0,0.032377428,0.002312673,0.013876041,0.555041628,0,0,0,0.370027752,0.004625347,0.018501388,-0.462910994
0.003931204,0.003439803,0.004914005,0,0.003439803,0.001965602,0,0,0,0.049140049,0.001474201,0.931695332,-0.98855835
0.003937008,0.001968504,0.006889764,0,0.003444882,0.000984252,0,0,0,0.049212598,0.001476378,0.932086614,-0.989423986
0.003940498,0,0.003447936,0.985124618,0.003447936,0.002462812,0,0.001477687,9.85E-05,0,0,0,-1.111851647
0.003941275,0,0,0.00788255,4.93E-05,0.807961376,0.014779781,0,0.000788255,0.157651,0.006897231,4.93E-05,-0.750620488
0.003945551,0,0.003452357,0.986387848,0.003452357,0.00246597,0,0.000197278,9.86E-05,0,0,0,-1.114919286
0.003964321,0.00049554,0.00099108,0,0.002477701,0.002477701,0,0,0,0.059464817,0.00148662,0.92864222,-0.982962119
0.003964321,0.00099108,0.003468781,0,0.006937562,0.003964321,0,0,0,0.001982161,0.00148662,0.977205154,-1.092659815
0.003967467,0,0.000495933,0,0.002479667,0.000495933,0,0,0,0.000694307,0,0.991866693,-1.12829629
0.003968254,0,0.000496032,0,0.002480159,0.000496032,0,0,0,0.000496032,0,0.992063492,-1.128777338
